%Bassin de Beterou				
%code lacune 	-9999			
%surface bassin	10080	km2		
%coordonnées (lat, lon)	9.199	2.267		
%date	annee	P	ETP	Q m3 /s

01   01   02 06   00	2002	0	3.2	1.07
02   01   02 06   00	2002	0	3.17	1
03   01   02 06   00	2002	0	3.01	0.96
04   01   02 06   00	2002	0	2.86	0.93
05   01   02 06   00	2002	0	2.38	0.9
06   01   02 06   00	2002	0	2.54	0.88
07   01   02 06   00	2002	0	3.03	0.83
08   01   02 06   00	2002	0	2.67	0.8
09   01   02 06   00	2002	0	3.2	0.77
10   01   02 06   00	2002	0	3.05	0.76
11   01   02 06   00	2002	0	3.07	0.53
12   01   02 06   00	2002	0	2.92	0
13   01   02 06   00	2002	0	3.03	0
14   01   02 06   00	2002	0	3.17	0
15   01   02 06   00	2002	0	3.07	0
16   01   02 06   00	2002	0	2.98	0
17   01   02 06   00	2002	0	3.08	0
18   01   02 06   00	2002	0	3.37	0
19   01   02 06   00	2002	0	3.08	0
20   01   02 06   00	2002	0	2.75	0
21   01   02 06   00	2002	0	3.18	0
22   01   02 06   00	2002	0	2.87	0
23   01   02 06   00	2002	0	3.56	0
24   01   02 06   00	2002	0	3.36	0
25   01   02 06   00	2002	0	3.03	0
26   01   02 06   00	2002	0	3.17	0
27   01   02 06   00	2002	0	3.62	0
28   01   02 06   00	2002	0	3.43	0
29   01   02 06   00	2002	0	3.21	0
30   01   02 06   00	2002	0	3.19	0
31   01   02 06   00	2002	0	3.36	0
01   02   02 06   00	2002	0	3.3	0
02   02   02 06   00	2002	0	3.4	0
03   02   02 06   00	2002	0	3.34	0
04   02   02 06   00	2002	0	3.55	0
05   02   02 06   00	2002	0	3.25	0
06   02   02 06   00	2002	0	2.9	0
07   02   02 06   00	2002	0	3.16	0
08   02   02 06   00	2002	0	3.33	0
09   02   02 06   00	2002	0	3.28	0
10   02   02 06   00	2002	0	3.05	0
11   02   02 06   00	2002	0	3.41	0
12   02   02 06   00	2002	0	3.58	0
13   02   02 06   00	2002	0	3.61	0
14   02   02 06   00	2002	0	3.42	0
15   02   02 06   00	2002	0	3.49	0
16   02   02 06   00	2002	0	3.48	0
17   02   02 06   00	2002	0	3.45	0
18   02   02 06   00	2002	0	3.63	0
19   02   02 06   00	2002	0	4.04	0
20   02   02 06   00	2002	0	3.95	0
21   02   02 06   00	2002	0	3.3	0
22   02   02 06   00	2002	0	3.7	0
23   02   02 06   00	2002	0	3.3	0
24   02   02 06   00	2002	0	3.8	0
25   02   02 06   00	2002	0	3.74	0
26   02   02 06   00	2002	0	3.61	0
27   02   02 06   00	2002	0	3.33	0
28   02   02 06   00	2002	0	3.7	0
01   03   02 06   00	2002	0	3.74	0
02   03   02 06   00	2002	0	3.56	0
03   03   02 06   00	2002	0	3.98	0
04   03   02 06   00	2002	0	3.96	0
05   03   02 06   00	2002	0	3.81	0
06   03   02 06   00	2002	0	4.16	0
07   03   02 06   00	2002	0	4.04	0
08   03   02 06   00	2002	0.32	2.81	0
09   03   02 06   00	2002	8.25	5.08	0
10   03   02 06   00	2002	18.45	1.2	0
11   03   02 06   00	2002	0.87	4.75	0
12   03   02 06   00	2002	0.05	3.99	0
13   03   02 06   00	2002	0	4.24	0
14   03   02 06   00	2002	0.19	4.07	0
15   03   02 06   00	2002	0	3.96	0
16   03   02 06   00	2002	0	4.4	0
17   03   02 06   00	2002	0	4.38	0
18   03   02 06   00	2002	0.03	4.02	0
19   03   02 06   00	2002	0	4.61	0
20   03   02 06   00	2002	0	3.88	0
21   03   02 06   00	2002	0.03	3.94	0
22   03   02 06   00	2002	0.36	3.27	0
23   03   02 06   00	2002	0.02	2.62	0
24   03   02 06   00	2002	0	2.59	0
25   03   02 06   00	2002	0	3.45	0
26   03   02 06   00	2002	0	3.61	0
27   03   02 06   00	2002	0	4.05	0
28   03   02 06   00	2002	0	3.23	0
29   03   02 06   00	2002	11.54	3.01	0
30   03   02 06   00	2002	0.04	4.55	0
31   03   02 06   00	2002	0.03	4.96	0
01   04   02 06   00	2002	0.02	4.49	0
02   04   02 06   00	2002	0.01	3.81	0
03   04   02 06   00	2002	0.01	2.76	0
04   04   02 06   00	2002	3.35	4.05	0
05   04   02 06   00	2002	0.31	4.22	0
06   04   02 06   00	2002	2.65	3.33	0
07   04   02 06   00	2002	7.52	-0.08	0
08   04   02 06   00	2002	13.85	5.13	0
09   04   02 06   00	2002	0	4.37	0
10   04   02 06   00	2002	0	4.55	0
11   04   02 06   00	2002	0.15	3.81	0
12   04   02 06   00	2002	0	4.55	0
13   04   02 06   00	2002	0	0.54	0
14   04   02 06   00	2002	16.85	4.66	0
15   04   02 06   00	2002	0.01	3.63	0
16   04   02 06   00	2002	0.46	4.23	0
17   04   02 06   00	2002	0	4.63	0
18   04   02 06   00	2002	12.23	3.57	0
19   04   02 06   00	2002	0	4.57	0
20   04   02 06   00	2002	0	3.96	0
21   04   02 06   00	2002	0.24	3.71	0
22   04   02 06   00	2002	0	4.44	0
23   04   02 06   00	2002	0	5.45	0
24   04   02 06   00	2002	5.7	4.76	0
25   04   02 06   00	2002	0	4.94	0
26   04   02 06   00	2002	0	5.01	0
27   04   02 06   00	2002	0.16	4.72	0
28   04   02 06   00	2002	0	4.64	0
29   04   02 06   00	2002	0.63	3.12	0
30   04   02 06   00	2002	0	4.24	0
01   05   02 06   00	2002	2.41	4.78	0
02   05   02 06   00	2002	2.52	3.86	0
03   05   02 06   00	2002	2.35	4.36	0
04   05   02 06   00	2002	0.11	2.69	0
05   05   02 06   00	2002	4.77	4.78	0
06   05   02 06   00	2002	6.64	4.84	0
07   05   02 06   00	2002	1.12	4.84	0
08   05   02 06   00	2002	4.46	4.95	0
09   05   02 06   00	2002	12.29	4.72	0
10   05   02 06   00	2002	0.22	5.29	0
11   05   02 06   00	2002	0	3.65	0
12   05   02 06   00	2002	0.04	4.56	0
13   05   02 06   00	2002	3.26	5.41	0
14   05   02 06   00	2002	20.68	3.81	0
15   05   02 06   00	2002	0.65	4.62	0
16   05   02 06   00	2002	0	4.48	0
17   05   02 06   00	2002	0.09	3.21	0
18   05   02 06   00	2002	0	3.55	0
19   05   02 06   00	2002	19.58	1.27	0
20   05   02 06   00	2002	1.42	4.79	0
21   05   02 06   00	2002	1.06	4.22	0
22   05   02 06   00	2002	0	3.35	0
23   05   02 06   00	2002	0.19	4.51	0
24   05   02 06   00	2002	17.7	3.62	0
25   05   02 06   00	2002	0.06	4.29	0
26   05   02 06   00	2002	0.96	5.08	0
27   05   02 06   00	2002	4.83	4.1	0
28   05   02 06   00	2002	9.9	2.21	0
29   05   02 06   00	2002	0.78	4.78	0
30   05   02 06   00	2002	0.73	4.25	0
31   05   02 06   00	2002	0	4.22	0
01   06   02 06   00	2002	21.28	2.79	0
02   06   02 06   00	2002	0.39	2.63	0
03   06   02 06   00	2002	3.99	3.9	0
04   06   02 06   00	2002	0	3.68	0
05   06   02 06   00	2002	4.02	4.08	0
06   06   02 06   00	2002	0.04	2.81	0
07   06   02 06   00	2002	13.85	3.81	0
08   06   02 06   00	2002	0.08	3.63	0
09   06   02 06   00	2002	0.35	5.25	0
10   06   02 06   00	2002	2.03	3.01	0
11   06   02 06   00	2002	1.58	3.68	0
12   06   02 06   00	2002	0.83	4	0.2
13   06   02 06   00	2002	13.07	2.93	1.89
14   06   02 06   00	2002	4.55	3.64	2.09
15   06   02 06   00	2002	6.98	2.7	2.11
16   06   02 06   00	2002	0.04	2.1	2.11
17   06   02 06   00	2002	2.12	2.99	2.16
18   06   02 06   00	2002	0.71	4.18	2.16
19   06   02 06   00	2002	5.37	3.13	2.11
20   06   02 06   00	2002	1.07	3.84	2.11
21   06   02 06   00	2002	8.99	3.26	2.05
22   06   02 06   00	2002	0	3.68	1.98
23   06   02 06   00	2002	0.04	3.68	1.97
24   06   02 06   00	2002	4.32	0.7	1.88
25   06   02 06   00	2002	15.51	3.45	1.74
26   06   02 06   00	2002	15.16	4.03	1.69
27   06   02 06   00	2002	18.4	3.92	1.65
28   06   02 06   00	2002	0.19	4.06	1.81
29   06   02 06   00	2002	0.14	2.57	2.57
30   06   02 06   00	2002	1.44	3.43	3.47
01   07   02 06   00	2002	0.14	3.45	4.04
02   07   02 06   00	2002	6.05	3.1	6.39
03   07   02 06   00	2002	4.61	2.18	8.42
04   07   02 06   00	2002	6.89	2.57	5.76
05   07   02 06   00	2002	0.03	3.06	4.73
06   07   02 06   00	2002	5.19	3.66	3.8
07   07   02 06   00	2002	5.31	4.17	4.65
08   07   02 06   00	2002	0	3.54	8.04
09   07   02 06   00	2002	0	1.31	8.1
10   07   02 06   00	2002	10.55	2.68	6.63
11   07   02 06   00	2002	0.09	2.09	5.3
12   07   02 06   00	2002	14.2	4.23	4.81
13   07   02 06   00	2002	0.05	4.09	4.49
14   07   02 06   00	2002	0.04	3.19	4.29
15   07   02 06   00	2002	0.1	3.53	5.03
16   07   02 06   00	2002	1.13	0.49	6.12
17   07   02 06   00	2002	16.81	1.8	7.62
18   07   02 06   00	2002	16.15	3.28	7.71
19   07   02 06   00	2002	0.41	3.42	6.52
20   07   02 06   00	2002	0.85	2.84	5.65
21   07   02 06   00	2002	7.73	2.66	6.61
22   07   02 06   00	2002	3.07	3.75	10.11
23   07   02 06   00	2002	0.99	2.06	9.02
24   07   02 06   00	2002	0.49	2.47	8.69
25   07   02 06   00	2002	0.11	2.93	8.71
26   07   02 06   00	2002	1.96	2.62	7.97
27   07   02 06   00	2002	3.03	3.22	7.56
28   07   02 06   00	2002	3.68	3.66	6.43
29   07   02 06   00	2002	5.32	3.61	5.45
30   07   02 06   00	2002	14.9	2.37	4.76
31   07   02 06   00	2002	4.49	1.43	4.38
01   08   02 06   00	2002	7.18	3.63	4.34
02   08   02 06   00	2002	5.93	2.09	15.05
03   08   02 06   00	2002	1.46	3.85	27.03
04   08   02 06   00	2002	0.06	2.66	20.54
05   08   02 06   00	2002	18.06	0.91	15.93
06   08   02 06   00	2002	32.42	2.91	21.93
07   08   02 06   00	2002	5.95	2.99	73.35
08   08   02 06   00	2002	0.84	3.9	38.04
09   08   02 06   00	2002	5.95	0.22	24.6
10   08   02 06   00	2002	15.54	4.06	25.2
11   08   02 06   00	2002	0.23	3.33	31.88
12   08   02 06   00	2002	15.76	3.88	45.75
