%Climatologie issue de la moyenne de l'ETo journalière à la station de Djougou sur 2002-2009.
%Moyenne des 1   1viers, 2    1viers, .... et écart-types associés pour info
%Resp. des données. sylvie.galle@ird.fr
%NE PAS REDIFFUSER SANS AUTORISATION
%date	DOY	Eto moyen	Ecart-type
%29     2   0	3.81	0.04
1    1  1	3.48	0.69
2    1	2	3.33	0.28
3    1	3	3.16	0.37
4    1	4	2.76	0.39
5    1	5	2.88	0.50
6    1	6	3.27	0.73
7    1	7	2.98	0.60
8    1	8	3.44	0.66
9    1	9	3.32	0.69
10   1	10	3.39	0.59
11   1	11	3.22	0.69
12   1	12	3.29	0.62
13   1	13	3.41	0.68
14   1	14	3.40	0.52
15   1	15	3.36	0.37
16   1	16	3.41	0.21
17   1	17	3.62	0.75
18   1	18	3.28	0.86
19   1	19	3.19	0.68
20   1	20	3.37	0.67
21   1	21	3.24	1.00
22   1	22	3.81	0.82
23   1	23	3.68	0.51
24   1	24	3.43	0.31
25   1	25	3.55	0.48
26   1	26	3.62	0.88
27   1	27	3.48	1.11
28   1	28	3.46	1.05
29   1	29	3.53	0.45
30   1	30	3.69	0.48
31   1	31	3.63	0.59
1    2	32	3.71	0.60
2    2	33	3.70	0.64
3    2	34	3.87	0.86
4    2	35	3.61	0.58
5    2	36	3.24	0.42
6    2	37	3.51	0.51
7    2	38	3.58	0.30
8    2	39	3.56	0.39
9    2	40	3.41	0.55
10   2	41	3.79	0.61
11   2	42	3.93	0.63
12   2	43	3.99	1.00
13   2	44	3.70	1.06
14   2	45	3.67	0.66
15   2	46	3.67	0.49
16   2	47	3.64	0.81
17   2	48	3.79	0.76
18   2	49	4.23	0.68
19   2	50	4.15	0.66
20   2	51	3.62	0.39
21   2	52	3.86	0.44
22   2	53	3.70	0.39
23   2	54	4.05	0.60
24   2	55	4.05	0.40
25   2	56	3.86	0.61
26   2	57	3.60	0.75
27   2	58	3.96	0.50
28   2	59	3.96	0.46
1    3	60	4.02	0.88
2    3	61	4.06	1.03
3    3	62	4.17	0.52
4    3	63	4.00	1.07
5    3	64	3.91	0.80
6    3	65	4.16	0.78
7    3	66	4.17	0.38
8    3	67	3.95	0.52
9    3	68	3.95	0.39
10   3	69	3.58	0.94
11   3	70	3.75	0.60
12   3	71	3.63	0.71
13   3	72	3.89	0.67
14   3	73	4.03	0.92
15   3	74	4.12	0.47
16   3	75	3.89	0.49
17   3	76	4.02	0.41
18   3	77	4.02	0.44
19   3	78	4.08	0.43
20   3	79	4.06	0.44
21   3	80	4.20	0.65
22   3	81	3.79	0.93
23   3	82	3.99	0.70
24   3	83	4.20	1.02
25   3	84	4.29	0.52
26   3	85	4.22	0.86
27   3	86	4.45	0.50
28   3	87	4.03	0.73
29   3	88	4.23	0.77
30   3	89	4.47	0.27
31   3	90	4.53	0.52
1    4	91	4.63	0.56
2    4	92	4.21	0.57
3    4	93	4.16	0.77
4    4	94	4.05	0.81
5    4	95	4.13	0.98
6    4	96	3.86	1.48
7    4	97	3.31	1.68
8    4	98	4.55	0.70
9    4	99	4.68	0.44
10   4	100	4.49	0.42
11   4	101	4.12	0.59
12   4	102	4.55	0.36
13   4	103	3.13	1.69
14   4	104	4.80	0.54
15   4	105	4.08	1.03
16   4	106	4.32	0.35
17   4	107	4.52	0.56
18   4	108	4.12	0.52
19   4	109	4.00	0.81
20   4	110	4.05	1.11
21   4	111	4.56	0.67
22   4	112	4.45	0.51
23   4	113	4.07	0.68
24   4	114	4.19	1.54
25   4	115	4.20	0.68
26   4	116	4.61	0.50
27   4	117	3.54	1.14
28   4	118	4.57	0.42
29   4	119	4.07	1.28
30   4	120	4.46	0.33
1    5	121	4.50	0.28
2    5	122	4.31	0.42
3    5	123	4.12	0.68
4    5	124	4.01	0.96
5    5	125	3.99	0.51
6    5	126	4.11	0.81
7    5	127	4.32	0.62
8    5	128	4.12	0.78
9    5	129	3.91	0.64
10   5	130	4.30	0.55
11   5	131	3.87	0.57
12   5	132	4.50	0.43
13   5	133	4.14	0.83
14   5	134	4.34	0.50
15   5	135	4.27	0.68
16   5	136	3.88	0.82
17   5	137	3.42	0.85
18   5	138	3.28	1.54
19   5	139	3.64	1.16
20   5	140	3.94	0.82
21   5	141	3.89	0.73
22   5	142	4.00	0.52
23   5	143	3.91	0.83
24   5	144	4.32	0.45
25   5	145	3.66	0.96
26   5	146	3.43	0.92
27   5	147	4.01	0.79
28   5	148	3.66	0.90
29   5	149	3.90	0.94
30   5	150	3.31	1.12
31   5	151	3.57	0.77
1    6	152	3.75	0.95
2    6	153	3.50	0.69
3    6	154	3.64	0.67
4    6	155	3.34	0.79
5    6	156	3.92	0.37
6    6	157	3.46	0.67
7    6	158	3.86	0.91
8    6	159	4.03	0.46
9    6	160	3.44	1.04
10   6	161	3.15	1.12
11   6	162	3.20	0.55
12   6	163	3.11	0.84
13   6	164	2.96	0.76
14   6	165	3.85	0.39
15   6	166	3.13	1.32
16   6	167	3.51	0.84
17   6	168	3.25	0.56
18   6	169	3.06	1.01
19   6	170	3.59	0.66
20   6	171	3.19	1.55
21   6	172	3.39	0.77
22   6	173	3.33	0.63
23   6	174	3.03	0.94
24   6	175	2.58	1.21
25   6	176	3.08	0.99
26   6	177	2.95	1.23
27   6	178	3.46	0.59
28   6	179	3.22	0.89
29   6	180	2.87	0.78
30   6	181	2.75	1.09
1    7	182	2.92	0.75
2    7	183	3.28	0.83
3    7	184	2.95	0.99
4    7	185	2.90	0.63
5    7	186	3.27	0.76
6    7	187	2.96	1.24
7    7	188	3.18	0.87
8    7	189	3.10	0.43
9    7	190	2.23	0.66
10   7	191	2.81	0.86
11   7	192	2.78	0.76
12   7	193	3.59	0.46
13   7	194	3.10	1.04
14   7	195	3.17	0.95
15   7	196	3.02	0.91
16   7	197	3.29	1.58
17   7	198	2.15	1.17
18   7	199	2.90	0.62
19   7	200	2.70	0.96
20   7	201	2.67	1.21
21   7	202	2.81	0.50
22   7	203	2.78	1.20
23   7	204	3.25	0.83
24   7	205	3.32	0.74
25   7	206	2.67	1.12
26   7	207	2.70	0.52
27   7	208	2.66	1.21
28   7	209	2.33	1.12
29   7	210	3.59	0.75
30   7	211	2.93	0.91
31   7	212	2.07	1.07
1    8	213	2.97	0.64
2    8	214	2.88	0.95
3    8	215	2.60	1.15
4    8	216	2.69	0.65
5    8	217	2.67	1.08
6    8	218	2.36	0.87
7    8	219	2.94	0.73
8    8	220	2.91	0.77
9    8	221	2.90	1.26
10   8	222	3.11	0.92
11   8	223	2.19	0.98
12   8	224	2.85	1.18
13   8	225	2.99	1.25
14   8	226	2.63	0.83
15   8	227	2.50	0.77
16   8	228	2.60	1.18
17   8	229	2.10	0.67
18   8	230	2.98	0.54
19   8	231	2.53	0.93
20   8	232	2.50	1.05
21   8	233	2.69	0.59
22   8	234	2.84	0.93
23   8	235	2.77	1.30
24   8	236	3.12	0.70
25   8	237	2.55	0.97
26   8	238	2.79	0.75
27   8	239	2.73	1.00
28   8	240	2.84	1.09
29   8	241	2.72	1.12
30   8	242	2.74	0.75
31   8	243	2.54	0.96
1    9	244	2.78	1.05
2    9	245	3.38	0.75
3    9	246	2.77	1.18
4    9	247	2.55	0.91
5    9	248	3.15	0.91
6    9	249	2.39	0.88
7    9	250	3.48	0.70
8    9	251	3.13	1.09
9    9	252	3.51	0.98
10   9	253	3.41	0.63
11   9	254	3.50	0.51
12   9	255	3.42	0.63
13   9	256	3.12	0.87
14   9	257	3.15	0.97
15   9	258	2.69	1.38
16   9	259	3.75	1.01
17   9	260	3.72	0.82
18   9	261	3.88	0.74
19   9	262	3.68	0.85
20   9	263	3.10	0.67
21   9	264	3.54	1.49
22   9	265	3.91	0.75
23   9	266	3.66	1.00
24   9	267	3.25	1.60
25   9	268	3.82	0.51
26   9	269	3.61	0.43
27   9	270	3.65	0.72
28   9	271	3.63	0.77
29   9	272	3.74	0.48
30   9	273	3.42	0.94
1    10	274	3.71	0.76
2    10	275	3.70	1.16
3    10	276	3.19	1.13
4    10	277	3.34	0.53
5    10	278	3.48	0.56
6    10	279	3.71	0.49
7    10	280	3.91	0.78
8    10	281	3.43	1.03
9    10	282	3.86	0.34
10   10	283	3.60	0.82
11   10	284	4.03	0.41
12    0	285	4.04	0.41
13   10	286	3.83	0.87
14   10	287	3.70	1.03
15   10	288	3.62	0.69
16   10	289	4.13	0.51
17   10	290	4.02	0.85
18   10	291	4.26	0.34
19   10	292	3.99	0.80
20   10	293	3.62	0.72
21   10	294	3.98	0.67
22   10	295	4.05	0.74
23   10	296	3.95	0.50
24   10	297	3.72	0.89
25   10	298	3.83	0.59
26   10	299	3.96	0.62
27   10	300	3.80	0.27
28   10	301	4.00	0.48
29   10	302	3.86	0.56
30   10	303	3.97	0.38
31   10	304	3.80	0.39
1    11	305	3.72	0.47
2    11	306	3.61	0.39
3    11	307	3.87	0.56
4    11	308	3.67	0.42
5    11	309	3.65	0.58
6    11	310	3.78	0.51
7    11	311	4.16	0.37
8    11	312	3.83	0.52
9    11	313	3.80	0.49
10   11	314	3.42	0.79
11   11	315	3.64	0.59
12   11	316	3.70	0.35
13   11	317	3.68	0.67
14   11	318	3.69	0.51
15   11	319	3.75	0.62
16   11	320	3.79	0.55
17   11	321	3.93	0.27
18   11	322	3.62	0.52
19   11	323	3.49	0.48
20   11	324	3.52	0.58
21   11	325	3.79	0.31
22   11	326	3.61	0.38
23   11	327	3.60	0.30
24   11	328	3.58	0.24
25   11	329	3.36	0.47
26   11	330	3.42	0.37
27   11	331	3.41	0.40
28   11	332	3.36	0.54
29   11	333	3.32	0.45
30   11	334	3.37	0.40
1    12	335	3.14	0.26
2    12	336	3.12	0.59
3    12	337	3.10	0.67
4    12	338	2.97	0.78
5    12	339	3.35	0.53
6    12	340	3.13	0.47
7    12	341	3.23	0.71
8    12	342	3.30	0.64
9    12	343	3.06	0.31
10   12	344	3.04	0.40
11   12	345	3.09	0.65
12   12	346	3.24	0.53
13   12	347	3.09	0.54
14   12	348	3.08	0.53
15   12	349	3.30	0.39
16   12	350	3.13	0.73
17   12	351	3.07	0.43
18   12	352	3.25	0.52
19   12	353	3.36	0.61
20   12	354	3.34	0.49
21   12	355	3.28	0.71
22   12	356	3.27	0.72
23   12	357	3.36	0.76
24   12	358	3.15	0.46
25   12	359	3.20	0.59
26   12	360	3.25	0.59
27   12	361	3.17	0.45
28   12	362	3.04	0.25
29   12	363	3.34	0.74
30   12	364	3.15	0.53
31   12	365	3.26	0.80
