%ETP journaliere station de Djougou
%memes donnees que JV
%date	ETP
01  01  02	3.2
02  01  02	3.17
03  01  02	3.01
04  01  02	2.86
05  01  02	2.38
06  01  02	2.54
07  01  02	3.03
08  01  02	2.67
09  01  02	3.2
10  01  02	3.05
11  01  02	3.07
12  01  02	2.92
13  01  02	3.03%
14  01  02	3.17
15  01  02	3.07
16  01  02	2.98
17  01  02	3.08
18  01  02	3.37
19  01  02	3.08
20  01  02	2.75
21  01  02	3.18
22  01  02	2.87
23  01  02	3.56
24  01  02	3.36
25  01  02	3.03
26  01  02	3.17
27  01  02	3.62
28  01  02	3.43
29  01  02	3.21
30  01  02	3.19
31  01  02	3.36
01  02  02	3.3
02  02  02	3.4
03  02  02	3.34
04  02  02	3.55
05  02  02	3.25
06  02  02	2.9
07  02  02	3.16
08  02  02	3.33
09  02  02	3.28
10  02  02	3.05
11  02  02	3.41
12  02  02	3.58
13  02  02	3.61
14  02  02	3.42
15  02  02	3.49
16  02  02	3.48
17  02  02	3.45
18  02  02	3.63
19  02  02	4.04
20  02  02	3.95
21  02  02	3.3
22  02  02	3.7
23  02  02	3.3
24  02  02	3.8
25  02  02	3.74
26  02  02	3.61
27  02  02	3.33
28  02  02	3.7
01  03  02	3.74
02  03  02	3.56
03  03  02	3.98
04  03  02	3.96
05  03  02	3.81
06  03  02	4.16
07  03  02	4.04
08  03  02	2.81
09  03  02	5.08
10  03  02	1.2
11  03  02	4.75
12  03  02	3.99
13  03  02	4.24
14  03  02	4.07
15  03  02	3.96
16  03  02	4.4
17  03  02	4.38
18  03  02	4.02
19  03  02	4.61
20  03  02	3.88
21  03  02	3.94
22  03  02	3.27
23  03  02	2.62
24  03  02	2.59
25  03  02	3.45
26  03  02	3.61
27  03  02	4.05
28  03  02	3.23
29  03  02	3.01
30  03  02	4.55
31  03  02	4.96
01  04  02	4.49
02  04  02	3.81
03  04  02	2.76
04  04  02	4.05
05  04  02	4.22
06  04  02	3.33
07  04  02	-0.08
08  04  02	5.13
09  04  02	4.37
10  04  02	4.55
11  04  02	3.81
12  04  02	4.55
13  04  02	0.54
14  04  02	4.66
15  04  02	3.63
16  04  02	4.23
17  04  02	4.63
18  04  02	3.57
19  04  02	4.57
20  04  02	3.96
21  04  02	3.71
22  04  02	4.44
23  04  02	5.45
24  04  02	4.76
25  04  02	4.94
26  04  02	5.01
27  04  02	4.72
28  04  02	4.64
29  04  02	3.12
30  04  02	4.24
01  05  02	4.78
02  05  02	3.86
03  05  02	4.36
04  05  02	2.69
05  05  02	4.78
06  05  02	4.84
07  05  02	4.84
08  05  02	4.95
09  05  02	4.72
10  05  02	5.29
11  05  02	3.65
12  05  02	4.56
13  05  02	5.41
14  05  02	3.81
15  05  02	4.62
16  05  02	4.48
17  05  02	3.21
18  05  02	3.55
19  05  02	1.27
20  05  02	4.79
21  05  02	4.22
22  05  02	3.35
23  05  02	4.51
24  05  02	3.62
25  05  02	4.29
26  05  02	5.08
27  05  02	4.1
28  05  02	2.21
29  05  02	4.78
30  05  02	4.25
31  05  02	4.22
01  06  02	2.79
02  06  02	2.63
03  06  02	3.9
04  06  02	3.68
05  06  02	4.08
06  06  02	2.81
07  06  02	3.81
08  06  02	3.63
09  06  02	5.25
10  06  02	3.01
11  06  02	3.68
12  06  02	4
13  06  02	2.93
14  06  02	3.64
15  06  02	2.7
16  06  02	2.1
17  06  02	2.99
18  06  02	4.18
19  06  02	3.13
20  06  02	3.84
21  06  02	3.26
22  06  02	3.68
23  06  02	3.68
24  06  02	0.7
25  06  02	3.45
26  06  02	4.03
27  06  02	3.92
28  06  02	4.06
29  06  02	2.57
30  06  02	3.43
01  07  02	3.45
02  07  02	3.1
03  07  02	2.18
04  07  02	2.57
05  07  02	3.06
06  07  02	3.66
07  07  02	4.17
08  07  02	3.54
09  07  02	1.31
10  07  02	2.68
11  07  02	2.09
12  07  02	4.23
13  07  02	4.09
14  07  02	3.19
15  07  02	3.53
16  07  02	0.49
17  07  02	1.8
18  07  02	3.28
19  07  02	3.42
20  07  02	2.84
21  07  02	2.66
22  07  02	3.75
23  07  02	2.06
24  07  02	2.47
25  07  02	2.93
26  07  02	2.62
27  07  02	3.22
28  07  02	3.66
29  07  02	3.61
30  07  02	2.37
31  07  02	1.43
01  08  02	3.63
02  08  02	2.09
03  08  02	3.85
04  08  02	2.66
05  08  02	0.91
06  08  02	2.91
07  08  02	2.99
08  08  02	3.9
09  08  02	0.22
10  08  02	4.06
11  08  02	3.33
12  08  02	3.88
13  08  02	4.41
14  08  02	1.67
15  08  02	1.33
16  08  02	3.29
17  08  02	3.09
18  08  02	3.61
19  08  02	3.26
20  08  02	3.37
21  08  02	2.47
22  08  02	3.72
23  08  02	3.92
24  08  02	3.56
25  08  02	1.84
26  08  02	3.79
27  08  02	2.3
28  08  02	3.46
29  08  02	2.64
30  08  02	2.79
31  08  02	3.43
01  09  02	2.98
02  09  02	3.47
03  09  02	4.39
04  09  02	1.91
05  09  02	4.13
06  09  02	1.99
07  09  02	2.59
08  09  02	2.47
09  09  02	2.37
10  09  02	3.26
11  09  02	3.07
12  09  02	3.54
13  09  02	2.61
14  09  02	2.66
15  09  02	3.47
16  09  02	3.95
17  09  02	3.38
18  09  02	3.37
19  09  02	3.16
20  09  02	3.62
21  09  02	4
22  09  02	4.22
23  09  02	2.63
24  09  02	1.13
25  09  02	4.01
26  09  02	4.41
27  09  02	3.92
28  09  02	3.06
29  09  02	3.82
30  09  02	3.15
01  10  02	4.02
02  10  02	1.23
03  10  02	1.51
04  10  02	2.94
05  10  02	3.04
06  10  02	3.25
07  10  02	2.22
08  10  02	3.76
09  10  02	3.48
10  10  02	3.55
11  10  02	4.11
12  10  02	3.82
13  10  02	4.26
14  10  02	4
15  10  02	2.38
16  10  02	4.12
17  10  02	3.32
18  10  02	3.79
19  10  02	3.32
20  10  02	3.57
21  10  02	4.13
22  10  02	3.67
23  10  02	3.54
24  10  02	3.45
25  10  02	3.85
26  10  02	2.46
27  10  02	3.52
28  10  02	3.8
29  10  02	3.61
30  10  02	3.66
31  10  02	3.54
01  11  02	3.43
02  11  02	3.43
03  11  02	3.59
04  11  02	3.44
05  11  02	2.84
06  11  02	3.38
07  11  02	3.6
08  11  02	3.47
09  11  02	2.78
10  11  02	3.72
11  11  02	2.9
12  11  02	3.76
13  11  02	3.74
14  11  02	3.12
15  11  02	3.17
16  11  02	3.5
17  11  02	3.44
18  11  02	3.32
19  11  02	3.21
20  11  02	2.79
21  11  02	3.07
22  11  02	2.77
23  11  02	2.61
24  11  02	3.4
25  11  02	2.55
26  11  02	2.52
27  11  02	2.43
28  11  02	2.18
29  11  02	2.55
30  11  02	2.95
01  12  02	2.4
02  12  02	2.37
03  12  02	2.31
04  12  02	1.96
05  12  02	2.03
06  12  02	2.08
07  12  02	1.62
08  12  02	2.01
09  12  02	2.56
10  12  02	2.73
11  12  02	3.79
12  12  02	4.05
13  12  02	3.63
14  12  02	3.13
15  12  02	3.45
16  12  02	4.23
17  12  02	3.3
18  12  02	3.13
19  12  02	2.59
20  12  02	2.91
21  12  02	2.67
22  12  02	3.57
23  12  02	3.87
24  12  02	3.45
25  12  02	3.79
26  12  02	3.75
27  12  02	3.07
28  12  02	2.86
29  12  02	3.68
30  12  02	3.47
31  12  02	2.91
01  01  03	3.2
02  01  03	3.49
03  01  03	3.3
04  01  03	3.49
05  01  03	3.26
06  01  03	2.47
07  01  03	2.41
08  01  03	2.37
09  01  03	2.42
10  01  03	1.72
11  01  03	2.21
12  01  03	2.31
13  01  03	2.45
14  01  03	2.06
15  01  03	3.61
16  01  03	3.3
17  01  03	2.8
18  01  03	3.24
19  01  03	2.87
20  01  03	2.76
21  01  03	2.91
22  01  03	2.92
23  01  03	1.91
24  01  03	2.28
25  01  03	3.01
26  01  03	3.2
27  01  03	3.62
28  01  03	3.62
29  01  03	3.65
30  01  03	3.33
31  01  03	2.98
01  02  03	3.2
02  02  03	3.38
03  02  03	3.74
04  02  03	4.7
05  02  03	4.12
06  02  03	3.53
07  02  03	3.41
08  02  03	3.18
09  02  03	3.19
10  02  03	2.79
11  02  03	3.06
12  02  03	3.7
13  02  03	3.28
14  02  03	2.45
15  02  03	3.35
16  02  03	2.87
17  02  03	2.8
18  02  03	3.06
19  02  03	4.62
20  02  03	4.3
21  02  03	3.15
22  02  03	3.6
23  02  03	3.93
24  02  03	4.34
25  02  03	4.09
26  02  03	2.95
27  02  03	3.63
28  02  03	2.95
01  03  03	3.72
02  03  03	3.78
03  03  03	4.43
04  03  03	4.49
05  03  03	3.78
06  03  03	2.83
07  03  03	3.14
08  03  03	3.77
09  03  03	3.56
10  03  03	3.37
11  03  03	3.57
12  03  03	3.88
13  03  03	4.31
14  03  03	4.82
15  03  03	4.19
16  03  03	4.61
17  03  03	3.89
18  03  03	3.61
19  03  03	3.62
20  03  03	3.75
21  03  03	3.96
22  03  03	3.9
23  03  03	2.52
24  03  03	4.52
25  03  03	4.99
26  03  03	4.07
27  03  03	2.7
28  03  03	5.07
29  03  03	4.22
30  03  03	4.3
31  03  03	3.99
01  04  03	4.66
02  04  03	4.8
03  04  03	5.06
04  04  03	4.97
05  04  03	4.23
06  04  03	5.09
07  04  03	0.52
08  04  03	4.94
09  04  03	4.64
10  04  03	5.92
11  04  03	3.77
12  04  03	2.9
13  04  03	4.78
14  04  03	3.78
15  04  03	5.6
16  04  03	1.86
17  04  03	3.93
18  04  03	4.42
19  04  03	4.17
20  04  03	3.47
21  04  03	1.7
22  04  03	5.35
23  04  03	4.67
24  04  03	3.89
25  04  03	4.26
26  04  03	4.16
27  04  03	5.03
28  04  03	3.23
29  04  03	5.04
30  04  03	4.94
01  05  03	4.49
02  05  03	4.5
03  05  03	3.93
04  05  03	4.38
05  05  03	4.6
06  05  03	5.06
07  05  03	5.33
